congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,dim1,dim2,log_likelihood,geo_mean_probability,number_of_votes,number_of_errors,conditional
111,President,99911,99,0,USA,100,0,0,"OBAMA, Barack",O000167,1961,,-0.354,-0.203,-16.3706,0.923,203,6,
111,House,20300,41,1,AL,200,0,1,"BONNER, Jr., Josiah Robins (Jo)",B001244,1959,,0.367,0.513,-131.69209,0.868,933,46,
111,House,20301,41,3,AL,200,0,1,"ROGERS, Mike Dennis",R000575,1958,,0.335,0.437,-185.71896,0.82656,975,72,1.0
111,House,20302,41,7,AL,100,0,1,"DAVIS, Artur",D000602,1967,,-0.27,0.454,-128.60856,0.853,807,47,
111,House,20900,41,2,AL,100,0,1,"BRIGHT, Bobby Neal, Sr.",B001264,1952,,0.067,0.671,-571.88349,0.546,945,247,
111,House,20901,41,5,AL,100,0,1,"GRIFFITH, Parker",G000557,1942,,-0.045,0.522,-196.28558,0.736,639,79,
111,House,29301,41,6,AL,200,0,1,"BACHUS, Spencer T., III",B000013,1947,,0.387,0.228,-172.75462,0.836,962,79,
111,House,29701,41,4,AL,200,0,1,"ADERHOLT, Robert",A000055,1965,,0.36,0.589,-152.80359,0.852,954,56,1.0
111,House,90901,41,5,AL,200,0,1,"GRIFFITH, Parker",G000557,1942,,0.385,0.43,-28.07315,0.903,275,11,
111,House,14066,81,1,AK,200,0,1,"YOUNG, Donald Edwin",Y000033,1933,,0.278,0.005,-517.1866,0.55744,885,189,1.0
111,House,20100,61,6,AZ,200,0,1,"FLAKE, Jeff",F000444,1962,,0.855,-0.518,-145.01207,0.85718,941,54,1.0
111,House,20304,61,2,AZ,200,0,1,"FRANKS, Trent",F000448,1957,,0.75,0.093,-108.17969,0.89539,979,54,1.0
111,House,20305,61,7,AZ,100,0,1,"GRIJALVA, Raúl M.",G000551,1948,,-0.596,-0.251,-74.69443,0.92322,935,25,1.0
111,House,20700,61,5,AZ,100,0,1,"MITCHELL, Harry E.",M001167,1940,,-0.056,0.028,-454.39426,0.627,973,220,
111,House,20701,61,8,AZ,100,0,1,"GIFFORDS, Gabrielle",G000554,1970,,-0.11,0.076,-364.84887,0.688,974,167,
111,House,20902,61,1,AZ,100,0,1,"KIRKPATRICK, Ann",K000368,1950,,-0.161,0.005,-478.19223,0.609,964,197,
111,House,29101,61,4,AZ,100,0,1,"PASTOR, Ed",P000099,1943,,-0.421,0.12,-80.69727,0.92,968,28,
111,House,29501,61,3,AZ,200,0,1,"SHADEGG, John B.",S000275,1949,,0.749,0.008,-112.85025,0.886,932,40,
111,House,20101,42,3,AR,200,0,1,"BOOZMAN, John",B001236,1950,,0.402,0.246,-128.06249,0.87691,975,56,1.0
111,House,20102,42,4,AR,100,0,1,"ROSS, Michael Avery",R000573,1961,,-0.201,0.89,-148.26464,0.859,974,51,
111,House,29702,42,1,AR,100,0,1,"BERRY, Robert Marion",B000420,1942,,-0.293,0.956,-210.59254,0.791,896,83,
111,House,29703,42,2,AR,100,0,1,"SNYDER, Victor F.",S000672,1947,,-0.268,0.055,-144.65869,0.86,961,44,
111,House,14053,71,13,CA,100,0,1,"STARK, Fortney Hillman (Pete), Jr.",S000810,1931,,-0.631,-0.605,-137.18281,0.843,805,38,
111,House,14256,71,7,CA,100,0,1,"MILLER, George",M000725,1945,,-0.552,-0.398,-54.43466,0.944,953,19,
111,House,14280,71,30,CA,100,0,1,"WAXMAN, Henry Arnold",W000215,1939,,-0.473,-0.343,-43.64638,0.954,936,14,
111,House,14644,71,41,CA,200,0,1,"LEWIS, Charles Jeremy (Jerry)",L000274,1934,,0.348,-0.101,-253.83845,0.77,972,115,
111,House,14647,71,3,CA,200,0,1,"LUNGREN, Daniel Edward",L000517,1946,,0.497,-0.054,-188.47152,0.824,975,72,
111,House,14813,71,26,CA,200,0,1,"DREIER, David Timothy",D000492,1952,,0.478,-0.084,-209.53884,0.807,978,116,
111,House,15005,71,28,CA,100,0,1,"BERMAN, Howard Lawrence",B000410,1941,,-0.404,-0.286,-46.3116,0.952,948,14,
111,House,15413,71,24,CA,200,0,1,"GALLEGLY, Elton W.",G000021,1944,,0.402,-0.1,-156.55163,0.848,947,73,
111,House,15420,71,2,CA,200,0,1,"HERGER, Walter William (Wally)",H000528,1945,,0.551,0.117,-140.20384,0.866,977,62,
111,House,15448,71,8,CA,100,0,1,"PELOSI, Nancy",P000197,1940,,-0.493,-0.204,-1.76529,0.97968,86,0,1.0
111,House,15621,71,46,CA,200,0,1,"ROHRABACHER, Dana",R000409,1947,,0.628,-0.4,-285.0509,0.74148,953,99,1.0
111,House,20103,71,15,CA,100,0,1,"HONDA, Mike",H001034,1941,,-0.529,-0.482,-67.74057,0.931,950,27,
111,House,20104,71,29,CA,100,0,1,"SCHIFF, Adam",S001150,1960,,-0.346,-0.131,-39.34608,0.9608,984,10,1.0
111,House,20105,71,32,CA,100,1,1,"SOLIS, Hilda L.",S001153,1957,,-0.508,-0.312,,,,,
111,House,20106,71,33,CA,100,0,1,"WATSON, Diane Edith",W000794,1933,,-0.531,-0.351,-48.81937,0.948,921,17,
111,House,20107,71,49,CA,200,0,1,"ISSA, Darrell",I000056,1953,,0.509,-0.077,-163.72318,0.84395,965,69,1.0
111,House,20108,71,53,CA,100,0,1,"DAVIS, Susan A.",D000598,1944,,-0.345,-0.093,-39.32645,0.96059,978,10,1.0
111,House,20306,71,18,CA,100,0,1,"CARDOZA, Dennis A.",C001050,1959,,-0.262,0.609,-128.24059,0.872,937,38,
111,House,20307,71,21,CA,200,0,1,"NUNES, Devin",N000181,1973,,0.453,0.18,-162.51297,0.83759,917,69,1.0
111,House,20310,71,39,CA,100,0,1,"SÁNCHEZ, Linda T.",S001156,1969,,-0.505,-0.166,-32.91173,0.96167,842,9,1.0
111,House,20501,71,20,CA,100,0,1,"COSTA, Jim",C001059,1952,,-0.185,0.468,-183.68407,0.82469,953,71,1.0
111,House,20538,71,5,CA,100,0,1,"MATSUI, Doris",M001163,1944,,-0.436,-0.177,-37.61881,0.9623,979,11,1.0
111,House,20539,71,48,CA,200,0,1,"CAMPBELL, John (of California)",C001064,1955,,0.748,-0.415,-170.89383,0.827,897,73,
111,House,20702,71,11,CA,100,0,1,"McNERNEY, Jerry",M001166,1951,,-0.258,-0.131,-175.48507,0.83482,972,67,1.0
111,House,20703,71,22,CA,200,0,1,"MCCARTHY, Kevin",M001165,1965,,0.462,0.193,-131.23988,0.87072,948,45,1.0
111,House,20752,71,37,CA,100,0,1,"RICHARDSON, Laura",R000581,1962,,-0.339,-0.022,-80.45712,0.918,945,31,
111,House,20762,71,12,CA,100,0,1,"SPEIER, Karen Lorraine Jacqueline (Jackie)",S001175,1950,,-0.388,-0.448,-140.68411,0.85409,892,46,1.0
111,House,20903,71,4,CA,200,0,1,"McCLINTOCK, Tom",M001177,1956,,0.747,-0.53,-169.01225,0.84233,985,69,1.0
111,House,20955,71,32,CA,100,2,2,"CHU, Judy",C001080,1953,,-0.504,-0.308,-25.33036,0.95886,603,6,1.0
111,House,20958,71,10,CA,100,2,2,"GARAMENDI, John",G000559,1945,,-0.315,-0.091,-36.14069,0.91382,401,14,1.0
111,House,20963,71,52,CA,200,0,1,"HUNTER, Duncan Duane",H001048,1976,,0.514,0.173,-144.57699,0.86349,985,63,1.0
111,House,29106,71,35,CA,100,0,1,"WATERS, Maxine",W000187,1938,,-0.66,-0.083,-103.39986,0.89237,908,31,1.0
111,House,29309,71,6,CA,100,0,1,"WOOLSEY, Lynn C.",W000738,1937,,-0.556,-0.529,-69.84845,0.928,939,27,
111,House,29312,71,14,CA,100,0,1,"ESHOO, Anna Georges",E000215,1942,,-0.383,-0.425,-46.34667,0.95296,962,15,1.0
111,House,29313,71,17,CA,100,0,1,"FARR, Sam",F000030,1941,,-0.455,-0.219,-68.08688,0.932,968,22,
111,House,29315,71,25,CA,200,0,1,"McKEON, Howard P. (Buck)",M000508,1938,,0.396,0.208,-164.53137,0.844,970,71,
111,House,29316,71,31,CA,100,0,1,"BECERRA, Xavier",B000287,1958,,-0.512,-0.283,-44.35289,0.95448,952,15,1.0
111,House,29317,71,34,CA,100,0,1,"ROYBAL-ALLARD, Lucille",R000486,1941,,-0.47,-0.204,-46.98936,0.953,976,16,1.0
111,House,29318,71,36,CA,100,0,1,"HARMAN, Jane L.",H000213,1945,,-0.262,-0.12,-87.15462,0.908,899,26,
111,House,29321,71,40,CA,200,0,1,"ROYCE, Edward Randall",R000487,1951,,0.666,-0.366,-140.28962,0.86662,980,58,1.0
111,House,29323,71,44,CA,200,0,1,"CALVERT, Ken",C000059,1953,,0.347,0.197,-150.27869,0.85482,958,50,1.0
111,House,29325,71,51,CA,100,0,1,"FILNER, Bob",F000116,1942,,-0.652,0.002,-114.75729,0.888,966,34,
111,House,29504,71,16,CA,100,0,1,"LOFGREN, Zoe",L000397,1947,,-0.4,-0.455,-62.3345,0.93199,885,19,1.0
111,House,29505,71,19,CA,200,0,1,"RADANOVICH, George P.",R000004,1955,,0.484,0.18,-136.60656,0.835,757,59,
111,House,29508,71,50,CA,200,0,1,"BILBRAY, Brian P.",B000461,1951,,0.392,-0.376,-213.93866,0.799,953,102,
111,House,29705,71,10,CA,100,1,1,"TAUSCHER, Ellen O'Kane",T000057,1951,,-0.308,-0.169,-13.2189,0.953,275,4,
111,House,29707,71,27,CA,100,0,1,"SHERMAN, Brad",S000344,1954,,-0.344,-0.147,-79.56835,0.9214,972,29,1.0
111,House,29709,71,47,CA,100,0,1,"SANCHEZ, Loretta",S000030,1960,,-0.367,0.025,-104.6784,0.892,918,32,
111,House,29774,71,23,CA,100,0,1,"CAPPS, Lois",C001036,1938,,-0.389,-0.227,-42.5681,0.957,962,15,
111,House,29775,71,45,CA,200,0,1,"BONO, Mary",B001228,1961,,0.353,-0.218,-177.6173,0.832,965,77,
111,House,29778,71,9,CA,100,0,1,"LEE, Barbara",L000551,1946,,-0.685,-0.642,-50.27844,0.94923,965,17,1.0
111,House,29901,71,1,CA,100,0,1,"THOMPSON, Michael",T000460,1951,,-0.395,0.065,-95.16436,0.90737,979,29,1.0
111,House,29903,71,38,CA,100,0,1,"NAPOLITANO, Grace Flores",N000179,1936,,-0.446,-0.237,-74.31335,0.92551,960,28,1.0
111,House,29905,71,42,CA,200,0,1,"MILLER, Gary G.",M001139,1948,,0.478,0.222,-159.62039,0.828,845,87,
111,House,29942,71,43,CA,100,0,1,"BACA, Joe",B001234,1947,,-0.349,0.292,-44.57093,0.954,955,12,
111,House,20502,62,3,CO,100,0,1,"SALAZAR, John",S001158,1953,,-0.277,0.561,-116.89739,0.884,952,40,
111,House,20704,62,5,CO,200,0,1,"LAMBORN, Doug",L000564,1954,,0.69,0.196,-94.06143,0.90857,981,31,1.0
111,House,20705,62,7,CO,100,0,1,"PERLMUTTER, Ed",P000593,1953,,-0.286,0.109,-106.37564,0.8949,958,31,1.0
111,House,20904,62,2,CO,100,0,1,"POLIS, Jared",P000598,1975,,-0.28,-0.675,-157.37015,0.85066,973,45,1.0
111,House,20905,62,4,CO,100,0,1,"MARKEY, Betsy",M001172,1956,,-0.19,0.385,-215.37512,0.801,971,81,
111,House,20906,62,6,CO,200,0,1,"COFFMAN, Mike",C001077,1955,,0.501,-0.207,-175.5723,0.8349,973,74,1.0
111,House,29710,62,1,CO,100,0,1,"DeGETTE, Diana",D000197,1957,,-0.435,-0.308,-46.21058,0.95233,946,15,1.0
111,House,20706,1,2,CT,100,0,1,"COURTNEY, Joe",C001069,1953,,-0.342,0.02,-87.73686,0.91369,972,29,1.0
111,House,20707,1,5,CT,100,0,1,"MURPHY, Christopher",M001169,1973,,-0.311,-0.186,-91.24954,0.91039,972,31,1.0
111,House,20907,1,4,CT,100,0,1,"HIMES, James A.",H001047,1966,,-0.241,-0.266,-213.20652,0.80103,961,81,1.0
111,House,29109,1,3,CT,100,0,1,"DeLAURO, Rosa L.",D000216,1943,,-0.418,-0.116,-53.80065,0.9461,971,18,1.0
111,House,29908,1,1,CT,100,0,1,"LARSON, John B.",L000557,1948,,-0.401,-0.063,-42.37603,0.95587,939,13,1.0
111,House,29327,11,1,DE,200,0,1,"CASTLE, Michael Newbold",C000243,1939,,0.229,-0.7,-265.96624,0.764,986,118,
111,House,13047,43,10,FL,200,0,1,"YOUNG, Charles William (Bill)",Y000031,1930,2013.0,0.325,-0.112,-191.36879,0.793,823,88,
111,House,15627,43,6,FL,200,0,1,"STEARNS, Clifford Bundy",S000822,1941,,0.554,-0.075,-186.07544,0.827,977,73,
111,House,15634,43,18,FL,200,0,1,"ROS-LEHTINEN, Ileana",R000435,1952,,0.245,-0.228,-193.29939,0.81377,938,81,1.0
111,House,20110,43,1,FL,200,0,1,"MILLER, Jefferson B. (Jeff)",M001144,1959,,0.633,0.155,-140.29606,0.866,972,68,
111,House,20111,43,4,FL,200,0,1,"CRENSHAW, Ander",C001045,1944,,0.333,0.337,-159.99904,0.846,954,60,
111,House,20113,43,12,FL,200,0,1,"PUTNAM, Adam",P000586,1974,,0.414,0.14,-177.39825,0.826,929,86,
111,House,20313,43,5,FL,200,0,1,"BROWN-WAITE, Virginia (Ginny)",B001247,1943,,0.36,0.084,-228.71033,0.775,896,100,
111,House,20316,43,25,FL,200,0,1,"DIAZ-BALART, Mario",D000600,1961,,0.278,0.082,-202.51533,0.81052,964,84,1.0
111,House,20358,43,17,FL,100,0,1,"MEEK, Kendrick B.",M001148,1966,,-0.363,0.108,-65.87639,0.931,927,25,
111,House,20503,43,14,FL,200,0,1,"MACK, Connie, IV",M001155,1967,,0.601,-0.16,-143.77574,0.86,951,65,
111,House,20504,43,20,FL,100,0,1,"WASSERMAN SCHULTZ, Debbie",W000797,1966,,-0.432,0.095,-44.30658,0.95415,944,15,1.0
111,House,20708,43,11,FL,100,0,1,"CASTOR, Kathy",C001066,1966,,-0.433,0.031,-36.92493,0.96136,937,11,1.0
111,House,20709,43,13,FL,200,0,1,"BUCHANAN, Vernon G.",B001260,1951,,0.359,-0.16,-192.76695,0.81791,959,93,1.0
111,House,20711,43,22,FL,100,0,1,"KLEIN, Ron",K000366,1957,,-0.265,-0.0,-88.46076,0.912,964,27,
111,House,20758,43,9,FL,200,0,1,"BILIRAKIS, Gus",B001257,1963,,0.397,0.027,-176.87052,0.83441,977,75,1.0
111,House,20908,43,8,FL,100,0,1,"GRAYSON, Alan",G000556,1958,,-0.363,-0.457,-92.08629,0.909,966,27,
111,House,20909,43,15,FL,200,0,1,"POSEY, Bill",P000599,1947,,0.509,-0.32,-260.62909,0.76731,984,117,1.0
111,House,20910,43,16,FL,200,0,1,"ROONEY, Thomas J.",R000583,1970,,0.469,0.007,-218.35286,0.79972,977,95,1.0
111,House,20911,43,24,FL,100,0,1,"KOSMAS, Suzanne M.",K000370,1944,,-0.163,-0.051,-229.48284,0.79,972,85,
111,House,20959,43,19,FL,100,2,2,"DEUTCH, Theodore E. (Ted)",D000610,1966,,-0.418,-0.064,-16.69577,0.92969,229,7,1.0
111,House,29328,43,3,FL,100,0,1,"BROWN, Corrine",B000911,1946,,-0.429,0.192,-65.49288,0.933,939,25,
111,House,29331,43,7,FL,200,0,1,"MICA, John L.",M000689,1943,,0.453,0.137,-178.38781,0.832,973,75,
111,House,29336,43,21,FL,200,0,1,"DIAZ-BALART, Lincoln",D000299,1954,,0.243,-0.105,-202.11361,0.803,922,83,
111,House,29337,43,23,FL,100,0,1,"HASTINGS, Alcee Lamar",H000324,1936,,-0.564,0.143,-45.74913,0.95076,906,15,1.0
111,House,29713,43,2,FL,100,0,1,"BOYD, F. Allen, Jr.",B000716,1945,,-0.181,0.414,-180.62708,0.823,925,59,
111,House,29715,43,19,FL,100,1,1,"WEXLER, Robert",W000314,1961,,-0.392,-0.193,-29.93218,0.952,612,11,
111,House,15431,44,5,GA,100,0,1,"LEWIS, John R.",L000287,1940,,-0.588,-0.234,-47.91399,0.94397,831,16,1.0
111,House,20317,44,8,GA,100,0,1,"MARSHALL, Jim",M001146,1948,,-0.119,0.803,-299.73006,0.733,966,136,
111,House,20319,44,11,GA,200,0,1,"GINGREY, Phil",G000550,1942,,0.561,0.272,-166.71608,0.84,957,79,
111,House,20321,44,13,GA,100,0,1,"SCOTT, David",S001157,1945,,-0.304,0.181,-81.02343,0.92057,979,22,1.0
111,House,20505,44,6,GA,200,0,1,"PRICE, Tom",P000591,1954,,0.644,-0.073,-137.96866,0.86678,965,63,1.0
111,House,20506,44,3,GA,200,0,1,"WESTMORELAND, Lynn A.",W000796,1950,,0.672,0.189,-112.42085,0.884,911,46,
111,House,20507,44,12,GA,100,0,1,"BARROW, John",B001252,1955,,-0.119,0.46,-208.26651,0.807,970,65,
