congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,dim1,dim2,log_likelihood,geo_mean_probability,number_of_votes,number_of_errors,conditional
114,President,99911,99,0,USA,100,,,"OBAMA, Barack",O000167,1961,,-0.354,-0.203,,,,,
114,House,20301,41,3,AL,200,0,1,"ROGERS, Mike Dennis",R000575,1958,,0.335,0.437,-137.49955,0.8824,1099,61,1.0
114,House,21102,41,7,AL,100,0,1,"SEWELL, Terri",S001185,1965,,-0.393,0.413,-178.61086,0.8452,1062,87,1.0
114,House,21192,41,2,AL,200,0,1,"ROBY, Martha",R000591,1976,,0.36,0.661,-92.08891,0.91934,1095,33,1.0
114,House,21193,41,5,AL,200,0,1,"BROOKS, Mo",B001274,1954,,0.595,-0.402,-274.17482,0.78252,1118,108,1.0
114,House,21376,41,1,AL,200,0,1,"BYRNE, Bradley",B001289,1955,,0.532,0.282,-110.4291,0.90432,1098,45,1.0
114,House,21500,41,6,AL,200,0,1,"PALMER, Gary James",P000609,1954,,0.776,-0.138,-101.0202,0.91375,1120,39,1.0
114,House,29701,41,4,AL,200,0,1,"ADERHOLT, Robert",A000055,1965,,0.36,0.589,-103.42656,0.91111,1111,41,1.0
114,House,14066,81,1,AK,200,0,1,"YOUNG, Donald Edwin",Y000033,1933,,0.278,0.005,-174.93952,0.8464,1049,74,1.0
114,House,20304,61,8,AZ,200,0,1,"FRANKS, Trent",F000448,1957,,0.75,0.093,-125.23329,0.89184,1094,45,1.0
114,House,20305,61,3,AZ,100,0,1,"GRIJALVA, Raúl M.",G000551,1948,,-0.596,-0.251,-91.93984,0.91624,1051,35,1.0
114,House,20902,61,1,AZ,100,0,1,"KIRKPATRICK, Ann",K000368,1950,,-0.161,0.005,-261.64714,0.776,1033,121,
114,House,21103,61,4,AZ,200,0,1,"GOSAR, Paul",G000565,1958,,0.602,-0.312,-177.39994,0.84891,1083,77,1.0
114,House,21105,61,6,AZ,200,0,1,"SCHWEIKERT, David",S001183,1962,,0.639,-0.323,-131.22523,0.88934,1119,58,1.0
114,House,21300,61,9,AZ,100,0,1,"SINEMA, Kyrsten",S001191,1976,,-0.11,0.032,-409.01085,0.68641,1087,189,1.0
