congress,chamber,icpsr,st,namelast,dist
116,S,41705,AL,JONES,NA
115,S,41706,MN,SMITH,NA
116,S,41706,MN,SMITH,NA
117,S,41706,MN,SMITH,NA
118,S,41706,MN,SMITH,NA
115,S,41707,MS,HYDE-SMITH,NA
116,S,41707,MS,HYDE-SMITH,NA
117,S,41707,MS,HYDE-SMITH,NA
118,S,41707,MS,HYDE-SMITH,NA
116,S,41900,IN,BRAUN,NA
117,S,41900,IN,BRAUN,NA
118,S,41900,IN,BRAUN,NA
116,S,41901,MO,HAWLEY,NA
117,S,41901,MO,HAWLEY,NA
118,S,41901,MO,HAWLEY,NA
116,S,41902,UT,ROMNEY,NA
117,S,41902,UT,ROMNEY,NA
118,S,41902,UT,ROMNEY,NA
116,S,41903,FL,SCOTT,NA
117,S,41903,FL,SCOTT,NA
118,S,41903,FL,SCOTT,NA
116,S,41904,GA,LOEFFLER,NA
117,S,41904,GA,LOEFFLER,NA
116,S,41905,AZ,KELLY,NA
117,S,41905,AZ,KELLY,NA
118,S,41905,AZ,KELLY,NA
117,S,42100,TN,HAGERTY,NA
118,S,42100,TN,HAGERTY,NA
117,S,42101,CO,HICKENLOOPER,NA
118,S,42101,CO,HICKENLOOPER,NA
117,S,42102,AL,TUBERVILLE,NA
118,S,42102,AL,TUBERVILLE,NA
117,S,42103,GA,OSSOFF,NA
118,S,42103,GA,OSSOFF,NA
117,S,42104,CA,PADILLA,NA
118,S,42104,CA,PADILLA,NA
117,S,42105,GA,WARNOCK,NA
118,S,42105,GA,WARNOCK,NA
118,S,42300,AL,BRITT,NA
118,S,42301,PA,FETTERMAN,NA
118,S,42302,NE,RICKETTS,NA
118,S,42303,MO,SCHMITT,NA
118,S,42304,OH,VANCE,NA
118,S,42305,CA,BUTLER,NA
109,S,49300,CA,FEINSTEIN,NA
110,S,49300,CA,FEINSTEIN,NA
111,S,49300,CA,FEINSTEIN,NA
112,S,49300,CA,FEINSTEIN,NA
113,S,49300,CA,FEINSTEIN,NA
114,S,49300,CA,FEINSTEIN,NA
115,S,49300,CA,FEINSTEIN,NA
116,S,49300,CA,FEINSTEIN,NA
117,S,49300,CA,FEINSTEIN,NA
118,S,49300,CA,FEINSTEIN,NA
109,S,49306,TX,HUTCHISON,NA
110,S,49306,TX,HUTCHISON,NA
111,S,49306,TX,HUTCHISON,NA
112,S,49306,TX,HUTCHISON,NA
109,S,49307,UT,BENNETT,NA
110,S,49307,UT,BENNETT,NA
111,S,49307,UT,BENNETT,NA
109,S,49308,WA,MURRAY,NA
110,S,49308,WA,MURRAY,NA
111,S,49308,WA,MURRAY,NA
112,S,49308,WA,MURRAY,NA
113,S,49308,WA,MURRAY,NA
114,S,49308,WA,MURRAY,NA
115,S,49308,WA,MURRAY,NA
116,S,49308,WA,MURRAY,NA
117,S,49308,WA,MURRAY,NA
118,S,49308,WA,MURRAY,NA
109,S,49309,WI,FEINGOLD,NA
110,S,49309,WI,FEINGOLD,NA
111,S,49309,WI,FEINGOLD,NA
109,S,49502,TN,FRIST,NA
109,S,49700,AL,SESSIONS,NA
110,S,49700,AL,SESSIONS,NA
111,S,49700,AL,SESSIONS,NA
112,S,49700,AL,SESSIONS,NA
113,S,49700,AL,SESSIONS,NA
114,S,49700,AL,SESSIONS,NA
115,S,49700,AL,SESSIONS,NA
109,S,49702,LA,LANDRIEU,NA
110,S,49702,LA,LANDRIEU,NA
111,S,49702,LA,LANDRIEU,NA
112,S,49702,LA,LANDRIEU,NA
113,S,49702,LA,LANDRIEU,NA
109,S,49703,ME,COLLINS,NA
110,S,49703,ME,COLLINS,NA
111,S,49703,ME,COLLINS,NA
112,S,49703,ME,COLLINS,NA
113,S,49703,ME,COLLINS,NA
114,S,49703,ME,COLLINS,NA
115,S,49703,ME,COLLINS,NA
116,S,49703,ME,COLLINS,NA
117,S,49703,ME,COLLINS,NA
118,S,49703,ME,COLLINS,NA
109,S,49704,NE,HAGEL,NA
110,S,49704,NE,HAGEL,NA
109,S,49705,OR,SMITH,NA
110,S,49705,OR,SMITH,NA
109,S,49706,WY,ENZI,NA
110,S,49706,WY,ENZI,NA
111,S,49706,WY,ENZI,NA
112,S,49706,WY,ENZI,NA
113,S,49706,WY,ENZI,NA
114,S,49706,WY,ENZI,NA
115,S,49706,WY,ENZI,NA
116,S,49706,WY,ENZI,NA
109,S,49901,IN,BAYH,NA
110,S,49901,IN,BAYH,NA
111,S,49901,IN,BAYH,NA
109,S,49903,OH,VOINOVICH,NA
110,S,49903,OH,VOINOVICH,NA
111,S,49903,OH,VOINOVICH,NA
109,S,49905,RI,CHAFEE,NA
118,S,91300,AZ,SINEMA,NA
109,S,94240,VT,JEFFORDS,NA
109,S,94659,AL,SHELBY,NA
110,S,94659,AL,SHELBY,NA
111,S,94659,AL,SHELBY,NA
112,S,94659,AL,SHELBY,NA
113,S,94659,AL,SHELBY,NA
114,S,94659,AL,SHELBY,NA
115,S,94659,AL,SHELBY,NA
116,S,94659,AL,SHELBY,NA
117,S,94659,AL,SHELBY,NA
111,S,94910,PA,SPECTER,NA
